iter	Passed	Remaining
0	1	119
1	2	110
2	3	103
3	4	98
4	5	100
5	6	108
6	8	113
7	10	118
8	11	117
9	13	118
10	14	116
11	15	113
12	16	109
13	17	107
14	18	104
15	19	102
16	20	98
17	21	96
18	21	93
19	22	91
20	23	90
21	24	88
22	25	86
23	26	84
24	27	82
25	28	80
26	29	79
27	30	77
28	30	75
29	31	74
30	32	72
31	33	71
32	34	69
33	35	68
34	36	67
35	37	65
36	38	64
37	38	63
38	39	62
39	40	60
40	41	59
41	41	57
42	42	56
43	43	55
44	44	54
45	45	52
46	45	51
47	46	50
48	47	49
49	48	48
50	49	47
51	50	46
52	50	45
53	51	44
54	52	43
55	53	42
56	54	41
57	55	39
58	56	38
59	56	37
60	57	36
61	58	35
62	59	34
63	60	33
64	61	32
65	62	31
66	62	30
67	63	29
68	64	28
69	65	28
70	66	27
71	67	26
72	68	25
73	69	24
74	70	23
75	71	22
76	72	21
77	73	20
78	75	19
79	76	19
80	77	18
81	78	17
82	79	16
83	80	15
84	81	14
85	82	13
86	83	12
87	84	11
88	85	10
89	86	9
90	87	8
91	89	7
92	90	6
93	91	5
94	92	4
95	93	3
96	94	2
97	94	1
98	95	0
99	96	0
